"First","Last","Player","Team","Season","Min","Pos","Shots","SoT","Dist","Solo","G","xG","xPlace","G-xG","KeyP","Dist.key","A","xA","A-xA","xG+xA","PA","xPA","xG/shot","xA/pass","G-xG/shot","A-xA/pass","Comp ($K)","Team/96","Min/96","Pos/96","Shots/96","SoT/96","G/96","xG/96","xPlace/96","G-xG/96","KeyP/96","A/96","xA/96","A-xA/96","xG+xA/96","PA/96","xPA/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Carlos","Vela","Carlos Vela","LAFC",2019,2931,"Wing",159,70,21.1186482227673,0.327044025157233,34,25.692,5.258747947504,8.30838652028575,93,14.7913403980741,10,11.4064945105601,-1.40649451056009,37.0981079902743,17.8159471054867,15.15695653939,0.161582474715184,0.122650478608173,0.0522540032722374,-0.0151235968877429,6300,"LAFC",2931,"Wing",5.20777891504606,2.29273285568066,1.1136131013306,0.841485804862698,0.172241488556938,0.272127296467906,3.0460593654043,0.327533265097236,0.373600639035745,-0.0460673739385085,1.21508644389844,0.583531532625973,0.496440746428332,6300,549,549,"Vela"
"Zlatan","Ibrahimovic","Zlatan Ibrahimovic","LAG",2019,2807,"F",150,64,17.3524837013884,0.22,30,23.533,3.65654646526441,6.46690225023166,44,17.3551048006767,7,5.81471632202158,1.18528367797842,29.3478140717899,18.5891998072128,16.1145287531425,0.156887318331789,0.132152643682309,0.0431126816682111,0.0269382654086004,7200,"LAG",2807,"F",5.13003206270039,2.1888136800855,1.02600641254008,0.80483697327316,0.125054670703735,0.221169439266918,1.50480940505878,0.239401496259352,0.19886454111652,0.0405369551428315,1.00370151438968,0.63575460687297,0.551120327859523,7200,548,548,"Ibrahimovic"
"Josef","Martinez","Josef Martinez","ATL",2019,2757,"F",116,48,15.3166824544567,0.198275862068966,27,20.778,2.14921655338963,6.22198220364187,30,21.5587192403128,3,2.80599046333632,0.194009536663681,23.5840082596944,14.7576171727685,11.4220324020371,0.179120843072053,0.093533015444544,0.0536377776176023,0.00646698455545602,3058,"ATL",2757,"F",4.03917301414581,1.67138193688792,0.940152339499456,0.723500075607682,0.0748367026207488,0.216652263891774,1.04461371055495,0.104461371055495,0.0977058703229186,0.00675550073257648,0.821205945930601,0.51386697445984,0.397720388319027,3058,547,547,"Martinez"
"Mauro","Manotas","Mauro Manotas","HOU",2019,2707,"F",92,29,18.0587007578179,0.217391304347826,13,14.56,-3.60725515930661,-1.56017078910809,41,19.8414042689287,7,5.71603253631675,1.28396746368325,20.2762033254248,10.3332821680524,9.84909463476462,0.158262725968566,0.139415427715043,-0.0169583781424793,0.0313162796020306,1245,"HOU",2707,"F",3.26265238271149,1.02844477281123,0.461026967122276,0.516356259975758,-0.12792630044087,-0.0553292928534824,1.45400812707795,0.248245289988918,0.20271116493772,0.0455341250511978,0.719067424913478,0.366455518335067,0.349284479105062,1245,545,539,"Manotas"
"Kei","Kamara","Kei Kamara","COL",2019,2739,"F",95,44,14.6859067298043,0.284210526315789,14,17.262,3.80538769427253,-3.26212198444597,22,23.0056048199185,1,2.25362018465089,-1.25362018465089,19.5157421690969,6.69445642801355,9.59910396102134,0.181706547204694,0.102437281120495,-0.0343381261520629,-0.0569827356659496,750,"COL",2739,"F",3.32968236582694,1.5421686746988,0.490690032858708,0.605025085982772,0.133376129481622,-0.114335053124065,0.771084337349398,0.0350492880613363,0.0789877830326709,-0.0439384949713347,0.684012869015443,0.234635931759511,0.336441759860551,750,546,542,"Kamara"
"Maximiliano","Moralez","Maximiliano Moralez","NYC",2019,2652,"Wing",50,24,19.1483327652357,0.34,7,10.175,-0.744779378920054,-3.17485734782816,97,20.5902351237923,12,9.13019545617114,2.86980454382886,19.3050528039993,4.25859336649744,5.52688694038786,0.203497146956563,0.0941257263522798,-0.0634971469565632,0.0295856138539058,2000,"NYC",2652,"Wing",1.80995475113122,0.868778280542986,0.253393665158371,0.36832062797568,-0.0269603395084182,-0.114926962817309,3.51131221719457,0.434389140271493,0.330504812893073,0.10388432737842,0.698825440868753,0.154157225936559,0.200068305534402,2000,533,497,"Moralez"
"Diego","Valeri","Diego Valeri","POR",2019,2810,"CAM",83,32,22.260683469661,0.301204819277108,8,9.399,-0.0328929990380331,-1.39876146891879,125,16.2618598088036,8,9.51000723448004,-1.51000723448004,18.9087687033988,4.71594064074303,5.53734497489,0.113238089986973,0.0760800578758403,-0.0168525478182987,-0.0120800578758403,2420,"POR",2810,"CAM",2.8355871886121,1.0932384341637,0.273309608540925,0.321096477229966,-0.00112374658635273,-0.0477868686890405,4.27046263345196,0.273309608540925,0.324897044309638,-0.051587435768713,0.645993521539604,0.161113986302965,0.189176198430406,2420,529,509,"Valeri"
"Diego","Rossi","Diego Rossi","LAFC",2019,3078,"Wing",108,48,19.5289968862217,0.185185185185185,16,11.026,2.36029351888581,4.97355274776069,49,19.2658299454037,6,7.71751383692357,-1.71751383692357,18.7439610891629,8.17464488952044,5.21536891289016,0.102096733817031,0.157500282386195,0.0460514143311175,-0.0350513027943586,1052,"LAFC",3078,"Wing",3.36842105263158,1.49707602339181,0.499025341130604,0.343904787594208,0.0736153924018966,0.155120553536396,1.52826510721248,0.187134502923977,0.240702185946934,-0.0535676830229573,0.584606973541142,0.254959684663406,0.16266257817981,1052,536,546,"Rossi"
"Carles","Gil","Carles Gil","NER",2019,3283,"CM",67,24,22.8441923421552,0.283582089552239,10,8.13,2.50471868773629,1.86955794582507,106,18.1632942816028,12,9.80178593073699,2.19821406926301,17.9322279849119,7.07361761812851,6.1994606136189,0.121349881405596,0.0924696785918584,0.0279038499376876,0.0207378685779529,2338,"NER",3283,"CM",1.95918367346939,0.701797136765154,0.292415473652147,0.23774670642729,0.0732418501439793,0.0546687672248574,3.09960402071276,0.350898568382577,0.286619387557341,0.0642791808252358,0.524366093984631,0.206843524623922,0.18128182117192,2338,514,524,"Gil"
"Daniel","Royer","Daniel Royer","NYRB",2019,2485,"Wing",85,35,18.2580924254854,0.2,11,13.49,-0.696298866537907,-2.49005799725508,31,16.6659598753273,6,4.35747477539351,1.64252522460649,17.8475327726486,5.753968145779,8.01924586360597,0.158706564673589,0.140563702432049,-0.0292947999677068,0.0529846846647254,769,"NYRB",2485,"Wing",3.28370221327968,1.35211267605634,0.424949698189135,0.521145097680679,-0.0268992721077018,-0.0961953994915442,1.19758551307847,0.231790744466801,0.168337053697295,0.0634536907695061,0.689482151377974,0.222286093358062,0.309797828131257,769,542,527,"Royer"
"Darwin","Quintero","Darwin Quintero","MIN",2019,2324,"CAM",81,27,21.1862505054591,0.345679012345679,10,11.937,-1.23408389830834,-1.93740086979299,54,20.5977541633331,5,5.39547228961671,-0.395472289616705,17.3328731594097,7.42305736290453,8.43641659290097,0.14737531938016,0.0999161535114205,-0.0239185292567035,-0.00732356091882787,1750,"MIN",2324,"CAM",3.34595524956971,1.11531841652324,0.413080895008606,0.49311122353706,-0.050977648122892,-0.0800303285284538,2.23063683304647,0.206540447504303,0.2228766522389,-0.0163362047345971,0.71598787577596,0.306632317916883,0.348492251686099,1750,539,523,"Quintero"
"Alejandro","Pozuelo","Alejandro Pozuelo","TOR",2019,2679,"CAM",75,31,21.8826594924721,0.36,12,9.163,0.984659745154675,2.8366217985045,80,17.326914245385,7,8.11994479955844,-1.11994479955844,17.2833230010539,8.36348422776651,6.84035946722061,0.12217837601994,0.101499309994481,0.0378216239800601,-0.0139993099944805,3800,"TOR",2679,"CAM",2.68756998880179,1.11086226203807,0.430011198208287,0.328362936671731,0.0352845597367857,0.101648261536556,2.86674132138858,0.250839865621501,0.290972266053606,-0.0401324004321054,0.619335202725337,0.299699322831499,0.245119264222911,3800,526,536,"Pozuelo"
"Wayne","Rooney","Wayne Rooney","DCU",2019,2495,"F",85,27,24.6530892087576,0.494117647058824,11,10.223,-0.562984094802243,0.77745002136074,74,15.9935100575048,7,6.58177584226228,0.41822415773772,16.8043258209015,7.2513506987915,6.91455328643793,0.120265293866344,0.0889429167873281,0.00914647083953812,0.00565167780726649,3508,"DCU",2495,"F",3.27054108216433,1.03887775551102,0.423246492985972,0.393332584348444,-0.0216619130665392,0.0299139086375275,2.84729458917836,0.269338677354709,0.2532466857143,0.0160919916404093,0.646579270062745,0.279009886606807,0.266050948095407,3508,535,526,"Rooney"
"Alberth","Elis","Alberth Elis","HOU",2019,2092,"Wing",81,31,16.9291749482168,0.123456790123457,9,9.25,0.883844812463654,-0.25017678675959,39,16.2118731814177,8,7.26097360547241,0.739026394527586,16.511150392232,5.27599264892949,5.70920893942335,0.114199713416785,0.186178810396729,-0.00308860230567395,0.0189493947314766,650,"HOU",2092,"Wing",3.717017208413,1.4225621414914,0.413001912045889,0.424482299966023,0.0405588441665921,-0.0114803879201342,1.78967495219885,0.367112810707457,0.333199553597204,0.0339132571102525,0.757681853563228,0.242110561327548,0.261990467583481,650,527,518,"Elis"
